pitch_no,game_id,pa_id,pitcher_pcode,pitcher_name,pitcher_hand,pitch_type,plate_x,plate_z,sz_top,sz_bot,game_date,home_team_code,away_team_code
3,20250323WOSS02025,2187123,64350,하영민,R,직구,-0.371,1.586,3.545,1.719,2025-03-23,SS,WO
4,20250323WOSS02025,2187174,76118,원종현,R,포크,-0.22,1.802,3.545,1.719,2025-03-23,SS,WO
4,20250405HHSS02025,2190635,76715,류현진,L,직구,0.183,2.878,3.545,1.719,2025-04-05,SS,HH
2,20250406HHSS02025,2190889,55764,권민규,L,직구,0.029,2.322,3.545,1.719,2025-04-06,SS,HH
2,20250417SSLG02025,2194158,51111,송승기,L,직구,-0.191,3.867,3.545,1.719,2025-04-17,LG,SS
2,20250424HTSS02025,2196306,52641,황동하,R,포크,0.183,1.269,3.548,1.721,2025-04-24,SS,HT
4,20250425NCSS02025,2196724,53973,목지훈,R,슬라이더,0.6,1.991,3.545,1.719,2025-04-25,SS,NC
3,20250425NCSS02025,2196736,54904,손주환,R,포크,-0.35,2.249,3.545,1.719,2025-04-25,SS,NC
2,20250425NCSS02025,2196772,68928,김시훈,R,직구,0.611,2.026,3.545,1.719,2025-04-25,SS,NC
3,20250427NCSS02025,2197383,68902,신민혁,R,직구,0.282,3.151,3.548,1.721,2025-04-27,SS,NC
3,20250427NCSS02025,2197416,67954,김진호,R,직구,0.178,2.157,3.545,1.719,2025-04-27,SS,NC
4,20250504OBSS02025,2199482,53259,최준호,R,직구,0.487,2.941,3.548,1.721,2025-05-04,SS,OB
3,20250507SSHH02025,2200765,50711,김승일,R,직구,-0.217,1.458,3.545,1.719,2025-05-07,HH,SS
5,20250510LGSS12025,2200921,53139,박명근,R,체인지업,0.289,1.337,3.545,1.719,2025-05-10,SS,LG
6,20250511LGSS02025,2201460,55138,코엔 윈,R,직구,0.033,2.62,3.545,1.719,2025-05-11,SS,LG
