pcode,pitcher_name,pitch_count,game_count,teamcode
55912,로건,3005,32,NC
55903,라일리,2872,30,NC
53375,후라도,2856,30,SS
55730,폰세,2820,29,SK
54755,와이스,2791,30,SK
55146,치리노스,2790,30,KT
54833,앤더슨,2763,30,SS
55239,잭로그,2680,30,SS
64021,박세웅,2660,29,LT
54354,헤이수스,2658,32,KT
77637,양현종,2539,30,NC
55257,콜어빈,2539,28,SS
54640,네일,2511,27,OB
55633,올러,2503,26,LT
77829,김광현,2502,28,SS
64001,고영표,2496,29,KT
64350,하영민,2479,28,KT
67143,손주영,2477,30,KT
61101,임찬규,2472,27,LT
51111,송승기,2465,28,KT
69446,원태인,2446,27,OB
68902,신민혁,2316,28,NC
67539,나균안,2292,28,LT
76715,류현진,2231,26,LT
50859,오원석,2184,25,KT
50030,소형준,2182,26,KT
55855,화이트,2133,24,SK
65320,최원태,2130,27,SS
55536,데이비슨,2114,22,LT
69745,김도현,2087,24,LT
51264,최승용,1950,23,HH
52701,문동주,1931,24,SK
51454,이승현,1850,25,SS
55532,감보아,1826,19,SS
67263,최원준,1790,47,HH
68220,곽빈,1782,19,SS
62869,문승원,1757,23,SS
69045,알칸타라,1750,19,WO
69032,쿠에바스,1686,18,KT
54319,김윤하,1651,19,KT
52530,이민석,1587,20,LT
65056,엄상백,1546,28,HH
55313,정현우,1484,18,NC
55460,가라비토,1353,15,SS
66018,김선기,1341,44,SK
55268,최민석,1326,17,OB
69969,전사민,1289,74,NC
52995,김녹원,1286,21,LT
69360,조영건,1265,51,KT
55322,로젠버그,1235,13,NC
51867,김건우,1231,34,SK
53892,이로운,1197,75,SS
67954,김진호,1185,76,NC
68856,최민준,1173,40,SK
69594,박진,1136,51,LT
54119,에르난데스,1134,14,LT
53973,목지훈,1118,16,NC
75867,김진성,1105,77,LT
65522,김강현,1097,66,LT
66291,이영하,1080,73,SS
52060,박영현,1080,66,KT
62360,김태훈,1073,72,SS
64995,배재환,1055,70,HH
54263,김택연,1051,64,SS
68242,정철원,1050,74,LT
73211,노경은,1049,77,SS
67703,박상원,1045,74,HH
53898,송영진,1040,21,SK
63765,김종수,1035,63,SK
54768,조동욱,1029,65,HH
62528,김원중,1009,53,LT
50464,이승민,1008,62,KT
63342,조상우,1001,71,LT
