pcode,pitcher_name,teamcode,pitch_count,game_count
55912,로건,NC,3005,32
55903,라일리,NC,2872,30
53375,후라도,SS,2856,30
55730,폰세,HH,2820,29
54755,와이스,HH,2791,30
55146,치리노스,LG,2790,30
54833,앤더슨,SK,2763,30
55239,잭로그,OB,2680,30
64021,박세웅,LT,2660,29
54354,헤이수스,KT,2658,32
77637,양현종,HT,2539,30
55257,콜어빈,OB,2539,28
54640,네일,HT,2511,27
55633,올러,HT,2503,26
77829,김광현,SK,2502,28
64001,고영표,KT,2496,29
64350,하영민,WO,2479,28
67143,손주영,LG,2477,30
61101,임찬규,LG,2472,27
51111,송승기,LG,2465,28
69446,원태인,SS,2446,27
68902,신민혁,NC,2316,28
67539,나균안,LT,2292,28
76715,류현진,HH,2231,26
50859,오원석,KT,2184,25
50030,소형준,KT,2182,26
55855,화이트,SK,2133,24
65320,최원태,SS,2130,27
55536,데이비슨,LT,2114,22
69745,김도현,HT,2087,24
51264,최승용,OB,1950,23
52701,문동주,HH,1931,24
51454,이승현,SS,1850,25
55532,감보아,LT,1826,19
67263,최원준,OB,1790,47
68220,곽빈,OB,1782,19
62869,문승원,SK,1757,23
69045,알칸타라,WO,1750,19
69032,쿠에바스,KT,1686,18
54319,김윤하,WO,1651,19
52530,이민석,LT,1587,20
65056,엄상백,HH,1546,28
55313,정현우,WO,1484,18
55460,가라비토,SS,1353,15
66018,김선기,WO,1341,44
55268,최민석,OB,1326,17
69969,전사민,NC,1289,74
52995,김녹원,NC,1286,21
69360,조영건,WO,1265,51
55322,로젠버그,WO,1235,13
51867,김건우,SK,1231,34
53892,이로운,SK,1197,75
67954,김진호,NC,1185,76
68856,최민준,SK,1173,40
69594,박진,LT,1136,51
54119,에르난데스,LG,1134,14
53973,목지훈,NC,1118,16
75867,김진성,LG,1105,77
65522,김강현,LT,1097,66
66291,이영하,OB,1080,73
52060,박영현,KT,1080,66
62360,김태훈,SS,1073,72
64995,배재환,NC,1055,70
54263,김택연,OB,1051,64
68242,정철원,LT,1050,74
73211,노경은,SK,1049,77
67703,박상원,HH,1045,74
53898,송영진,SK,1040,21
63765,김종수,HH,1035,63
54768,조동욱,HH,1029,65
62528,김원중,LT,1009,53
50464,이승민,SS,1008,62
63342,조상우,HT,1001,71
50662,정해영,HT,998,60
52639,최지민,HT,990,66
54729,황준서,HH,989,23
67116,오석주,WO,981,53
53754,김서현,HH,980,69
68249,박신지,OB,964,54
51897,조병현,SK,957,69
65949,류진욱,NC,953,61
54063,원상현,KT,952,52
55743,정우주,HH,952,51
55032,패트릭,KT,947,15
68415,양창섭,SS,945,33
53455,이호성,SS,942,58
52809,전영준,SK,935,33
54368,김연주,WO,930,20
61666,한승혁,HH,926,71
66609,전상현,HT,922,74
55455,배찬승,SS,922,64
55167,김영우,LG,904,65
67266,박치국,OB,901,71
69041,손동현,KT,898,58
66920,최성영,NC,898,35
68043,김민,SK,878,69
69108,이지강,LG,877,43
53613,윤영철,HT,871,13
50812,박시후,SK,868,51
69328,박주성,WO,853,18
53301,박윤성,WO,845,54
76118,원종현,WO,843,60
76225,김건국,HT,837,26
54443,레예스,SS,836,10
65062,김재윤,SS,829,62
50556,최준용,LT,825,49
63950,장현식,LG,818,56
51648,이의리,HT,776,10
54537,정현수,LT,764,75
52528,반즈,LT,759,8
54904,손주환,NC,759,52
55342,메르세데스,WO,756,8
65707,주현상,HH,745,48
65769,김범수,HH,732,69
65048,김민수,KT,717,58
55130,톨허스트,LG,713,8
54610,성영탁,HT,713,44
68900,김영규,NC,713,45
52992,이준혁,NC,665,25
51994,한재승,NC,651,36
52330,주승우,WO,648,42
55526,벨라스케즈,LT,645,11
69054,이상동,KT,633,41
68092,한두솔,SK,615,43
76430,김상수,LT,607,44
50106,유영찬,LG,602,39
