pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count,pitch_group
64768,조이현,KT,175,53.71,63.43,9.71,4.0,60.0,94,111,17,100-200구
65933,구창모,NC,231,51.95,61.04,9.09,3.03,59.65,120,141,21,201-500구
62363,한현희,LT,168,47.62,57.14,9.52,8.93,48.78,80,96,16,100-200구
50030,소형준,KT,2271,46.59,56.1,9.51,3.83,62.67,1058,1274,216,1000구+
75421,오승환,SS,192,41.67,54.69,13.02,4.69,49.02,80,105,25,100-200구
55138,코엔 윈,LG,420,46.43,54.05,7.62,7.14,43.4,195,227,32,201-500구
55239,잭로그,OB,2782,44.5,52.95,8.45,6.33,59.22,1238,1473,235,1000구+
55032,패트릭,KT,947,43.82,52.8,8.98,6.34,58.14,415,500,85,501-1000구
55130,톨허스트,LG,713,42.5,52.45,9.96,7.01,59.34,303,374,71,501-1000구
52202,윤태호,OB,277,42.6,52.35,9.75,10.11,63.01,118,145,27,201-500구
68619,윤중현,HT,138,46.38,52.17,5.8,7.97,53.66,64,72,8,100-200구
69045,알칸타라,WO,1750,41.49,51.94,10.46,4.69,53.43,726,909,183,1000구+
68092,한두솔,SK,645,40.47,51.78,11.32,6.98,53.89,261,334,73,501-1000구
73117,우규민,KT,612,42.48,51.47,8.99,6.05,54.29,260,315,55,501-1000구
67143,손주영,LG,2609,42.2,51.32,9.12,7.01,53.79,1101,1339,238,1000구+
68902,신민혁,NC,2360,42.8,51.27,8.47,6.57,58.12,1010,1210,200,1000구+
62951,이형범,HT,199,39.7,51.26,11.56,12.56,57.69,79,102,23,100-200구
78352,임창민,SS,320,42.19,51.25,9.06,9.38,48.0,135,164,29,201-500구
75867,김진성,LG,1156,41.7,51.21,9.52,8.13,53.57,482,592,110,1000구+
55215,양재훈,OB,338,40.53,51.18,10.65,9.76,57.65,137,173,36,201-500구
65062,김재윤,SS,878,41.69,51.14,9.45,9.0,60.96,366,449,83,501-1000구
69446,원태인,SS,2445,42.37,51.12,8.75,5.32,58.37,1036,1250,214,1000구+
55342,메르세데스,WO,756,42.2,51.06,8.86,6.22,57.44,319,386,67,501-1000구
52395,윤석원,WO,592,41.22,51.01,9.8,5.57,53.95,244,302,58,501-1000구
54119,에르난데스,LG,1275,43.14,50.75,7.61,8.55,56.91,550,647,97,1000구+
69969,전사민,NC,1343,41.33,50.71,9.38,6.7,51.5,555,681,126,1000구+
60337,김대유,HT,170,42.94,50.59,7.65,11.76,48.98,73,86,13,100-200구
69041,손동현,KT,941,42.93,50.48,7.55,12.33,59.06,404,475,71,501-1000구
55743,정우주,HH,995,42.71,50.45,7.74,7.54,46.49,425,502,77,501-1000구
55046,박건우,KT,113,44.25,50.44,6.19,5.31,51.85,50,57,7,100-200구
68220,곽빈,OB,1853,41.23,50.4,9.17,6.64,55.19,764,934,170,1000구+
54503,박준우,LT,264,39.77,50.38,10.61,9.47,50.68,105,133,28,201-500구
51897,조병현,SK,1005,41.09,50.15,9.05,5.77,52.14,413,504,91,1000구+
66609,전상현,HT,954,39.73,50.1,10.38,7.76,52.85,379,478,99,501-1000구
50464,이승민,SS,1008,42.56,50.1,7.54,6.75,54.14,429,505,76,1000구+
68415,양창섭,SS,1011,41.15,50.05,8.9,7.91,51.4,416,506,90,1000구+
65320,최원태,SS,2240,40.85,49.87,9.02,9.78,57.02,915,1117,202,1000구+
69516,김현수,HT,277,37.91,49.82,11.91,10.11,61.33,105,138,33,201-500구
54640,네일,HT,2578,40.77,49.81,9.04,7.45,53.31,1051,1284,233,1000구+
51715,김기중,HH,253,39.13,49.8,10.67,6.72,46.15,99,126,27,201-500구
53375,후라도,SS,2997,40.61,49.65,9.04,4.4,57.46,1217,1488,271,1000구+
65516,배제성,KT,504,41.27,49.6,8.33,10.91,52.85,208,250,42,501-1000구
61101,임찬규,LG,2529,40.45,49.58,9.13,7.35,54.25,1023,1254,231,1000구+
55912,로건,NC,3086,40.83,49.55,8.72,7.58,54.58,1260,1529,269,1000구+
55903,라일리,NC,3025,41.26,49.55,8.3,9.16,52.71,1248,1499,251,1000구+
65048,김민수,KT,739,41.27,49.53,8.25,8.12,52.8,305,366,61,501-1000구
54610,성영탁,HT,713,42.08,49.51,7.43,5.61,52.15,300,353,53,501-1000구
55633,올러,HT,2605,40.42,49.48,9.06,8.6,53.03,1053,1289,236,1000구+
60768,이태양,HH,188,39.36,49.47,10.11,6.38,50.0,74,93,19,100-200구
69134,이정용,LG,562,41.64,49.29,7.65,9.96,50.74,234,277,43,501-1000구
53262,김유성,OB,471,42.25,49.26,7.01,9.98,56.25,199,232,33,201-500구
51264,최승용,OB,2091,40.08,49.26,9.18,8.13,54.75,838,1030,192,1000구+
54443,레예스,SS,834,37.89,49.16,11.27,5.88,53.55,316,410,94,501-1000구
