pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,chase_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count
50030,소형준,KT,2271,46.59,56.1,9.51,40.07,3.83,62.67,1058,1274,216
55239,잭로그,OB,2782,44.5,52.95,8.45,40.73,6.33,59.22,1238,1473,235
55032,패트릭,KT,947,43.82,52.8,8.98,40.87,6.34,58.14,415,500,85
55130,톨허스트,LG,713,42.5,52.45,9.96,40.53,7.01,59.34,303,374,71
69045,알칸타라,WO,1750,41.49,51.94,10.46,43.37,4.69,53.43,726,909,183
68092,한두솔,SK,645,40.47,51.78,11.32,41.24,6.98,53.89,261,334,73
73117,우규민,KT,612,42.48,51.47,8.99,42.48,6.05,54.29,260,315,55
67143,손주영,LG,2609,42.2,51.32,9.12,41.66,7.01,53.79,1101,1339,238
68902,신민혁,NC,2360,42.8,51.27,8.47,42.16,6.57,58.12,1010,1210,200
75867,김진성,LG,1156,41.7,51.21,9.52,40.66,8.13,53.57,482,592,110
65062,김재윤,SS,878,41.69,51.14,9.45,39.86,9.0,60.96,366,449,83
69446,원태인,SS,2445,42.37,51.12,8.75,43.56,5.32,58.37,1036,1250,214
55342,메르세데스,WO,756,42.2,51.06,8.86,42.72,6.22,57.44,319,386,67
52395,윤석원,WO,592,41.22,51.01,9.8,43.41,5.57,53.95,244,302,58
54119,에르난데스,LG,1275,43.14,50.75,7.61,40.71,8.55,56.91,550,647,97
69969,전사민,NC,1343,41.33,50.71,9.38,42.59,6.7,51.5,555,681,126
69041,손동현,KT,941,42.93,50.48,7.55,37.19,12.33,59.06,404,475,71
55743,정우주,HH,995,42.71,50.45,7.74,42.01,7.54,46.49,425,502,77
68220,곽빈,OB,1853,41.23,50.4,9.17,42.96,6.64,55.19,764,934,170
51897,조병현,SK,1005,41.09,50.15,9.05,44.08,5.77,52.14,413,504,91
66609,전상현,HT,954,39.73,50.1,10.38,42.14,7.76,52.85,379,478,99
50464,이승민,SS,1008,42.56,50.1,7.54,43.15,6.75,54.14,429,505,76
68415,양창섭,SS,1011,41.15,50.05,8.9,42.04,7.91,51.4,416,506,90
65320,최원태,SS,2240,40.85,49.87,9.02,40.36,9.78,57.02,915,1117,202
54640,네일,HT,2578,40.77,49.81,9.04,42.75,7.45,53.31,1051,1284,233
53375,후라도,SS,2997,40.61,49.65,9.04,45.95,4.4,57.46,1217,1488,271
65516,배제성,KT,504,41.27,49.6,8.33,39.48,10.91,52.85,208,250,42
61101,임찬규,LG,2529,40.45,49.58,9.13,43.06,7.35,54.25,1023,1254,231
55912,로건,NC,3086,40.83,49.55,8.72,42.87,7.58,54.58,1260,1529,269
55903,라일리,NC,3025,41.26,49.55,8.3,41.29,9.16,52.71,1248,1499,251
65048,김민수,KT,739,41.27,49.53,8.25,42.35,8.12,52.8,305,366,61
54610,성영탁,HT,713,42.08,49.51,7.43,44.88,5.61,52.15,300,353,53
55633,올러,HT,2605,40.42,49.48,9.06,41.92,8.6,53.03,1053,1289,236
69134,이정용,LG,562,41.64,49.29,7.65,40.75,9.96,50.74,234,277,43
51264,최승용,OB,2091,40.08,49.26,9.18,42.61,8.13,54.75,838,1030,192
54443,레예스,SS,834,37.89,49.16,11.27,44.96,5.88,53.55,316,410,94
55536,데이비슨,LT,2197,41.28,49.07,7.78,44.79,6.14,48.55,907,1078,171
54537,정현수,LT,814,38.45,49.02,10.57,41.65,9.34,53.61,313,399,86
69054,이상동,KT,657,39.88,49.01,9.13,39.88,11.11,43.79,262,322,60
69328,박주성,WO,853,40.09,49.0,8.91,44.55,6.45,52.38,342,418,76
50556,최준용,LT,825,39.15,48.97,9.82,41.82,9.21,46.51,323,404,81
62869,문승원,SK,1856,38.69,48.92,10.24,43.05,8.03,48.01,718,908,190
55532,감보아,LT,1825,39.73,48.88,9.15,41.81,9.32,48.72,725,892,167
55730,폰세,HH,2964,39.74,48.85,9.11,43.18,7.96,53.04,1178,1448,270
67703,박상원,HH,1086,41.99,48.8,6.81,44.48,6.72,52.5,456,530,74
76715,류현진,HH,2295,39.78,48.8,9.02,46.67,4.53,55.21,913,1120,207
64350,하영민,WO,2599,39.75,48.79,9.04,42.55,8.66,52.91,1033,1268,235
54354,헤이수스,KT,2710,39.67,48.78,9.11,45.13,6.09,51.74,1075,1322,247
77446,백정현,SS,587,39.35,48.55,9.2,41.74,9.71,52.74,231,285,54
53892,이로운,SK,1263,40.7,48.54,7.84,41.49,9.98,46.38,514,613,99
55146,치리노스,LG,2921,39.82,48.51,8.7,42.93,8.56,51.57,1163,1417,254
53301,박윤성,WO,887,38.67,48.48,9.81,42.28,9.24,46.19,343,430,87
52641,황동하,HT,655,38.02,48.4,10.38,41.83,9.77,49.44,249,317,68
52060,박영현,KT,1145,40.0,48.3,8.3,43.93,7.77,55.12,458,553,95
54904,손주환,NC,795,40.63,48.3,7.67,44.53,7.17,54.91,323,384,61
69745,김도현,HT,2172,39.87,48.25,8.38,44.11,7.64,54.51,866,1048,182
68242,정철원,LT,1093,39.43,48.03,8.6,41.17,10.8,50.34,431,525,94
53455,이호성,SS,978,38.96,47.96,9.0,43.15,8.9,54.01,381,469,88
76118,원종현,WO,874,37.87,47.94,10.07,44.05,8.01,40.85,331,419,88
68419,최채흥,LG,532,39.29,47.93,8.65,41.35,10.71,59.29,209,255,46
52528,반즈,LT,837,40.74,47.91,7.17,44.21,7.89,47.93,341,401,60
65056,엄상백,HH,1650,38.36,47.88,9.52,46.48,5.64,52.93,633,790,157
52809,전영준,SK,934,38.87,47.75,8.89,42.72,9.53,54.59,363,446,83
64021,박세웅,LT,2814,39.34,47.69,8.35,42.11,10.2,58.03,1107,1342,235
77637,양현종,HT,2605,38.93,47.68,8.75,42.5,9.83,52.17,1014,1242,228
55855,화이트,SK,2133,38.63,47.68,9.05,45.62,6.7,51.71,824,1017,193
54833,앤더슨,SK,2887,39.73,47.59,7.86,43.47,8.94,54.48,1147,1374,227
53898,송영진,SK,1102,39.2,47.55,8.35,43.01,9.44,48.5,432,524,92
54755,와이스,HH,2949,38.32,47.51,9.19,43.57,8.92,50.07,1130,1401,271
