pitcher_pcode,pitcher_name,total_pitches,called_strike_count,looking_strike_count,whiff_count,foul_count,abs_zone_count,heart_count,shadow_count,called_strike_pct,looking_strike_pct,whiff_pct,csw_pct,abs_zone_pct,heart_pct,shadow_pct,all_strike_pct,framing_effect
53609,곽도규,121,62,30,17,15,54,18,54,51.24,24.79,14.05,38.84,44.63,14.88,44.63,59.5,6.609999999999999
55730,폰세,2964,1581,558,485,538,1448,501,1312,53.34,18.83,16.36,35.19,48.85,16.9,44.26,61.17,4.490000000000002
50106,유영찬,602,293,98,112,83,261,102,232,48.67,16.28,18.6,34.88,43.36,16.94,38.54,55.48,5.310000000000002
50596,홍민기,497,258,98,66,94,229,76,219,51.91,19.72,13.28,33.0,46.08,15.29,44.06,59.36,5.829999999999998
65665,이준영,525,250,108,65,77,244,84,224,47.62,20.57,12.38,32.95,46.48,16.0,42.67,58.67,1.1400000000000006
50556,최준용,825,409,143,128,138,404,128,374,49.58,17.33,15.52,32.85,48.97,15.52,45.33,60.85,0.6099999999999994
54833,앤더슨,2887,1502,536,411,555,1374,477,1261,52.03,18.57,14.24,32.8,47.59,16.52,43.68,60.2,4.439999999999998
64001,고영표,2611,1369,501,353,515,1212,429,1122,52.43,19.19,13.52,32.71,46.42,16.43,42.97,59.4,6.009999999999998
55322,로젠버그,1380,673,286,163,224,648,209,613,48.77,20.72,11.81,32.54,46.96,15.14,44.42,59.57,1.8100000000000023
55903,라일리,3025,1533,598,383,552,1499,571,1331,50.68,19.77,12.66,32.43,49.55,18.88,44.0,62.88,1.1300000000000026
54755,와이스,2949,1482,568,377,537,1401,525,1244,50.25,19.26,12.78,32.04,47.51,17.8,42.18,59.99,2.740000000000002
72523,고효준,385,163,84,38,41,165,50,155,42.34,21.82,9.87,31.69,42.86,12.99,40.26,53.25,-0.519999999999996
55215,양재훈,338,154,77,30,47,173,67,143,45.56,22.78,8.88,31.66,51.18,19.82,42.31,62.13,-5.619999999999997
54729,황준서,988,460,222,90,148,465,176,412,46.56,22.47,9.11,31.58,47.06,17.81,41.7,59.51,-0.5
54119,에르난데스,1275,646,266,136,244,647,255,556,50.67,20.86,10.67,31.53,50.75,20.0,43.61,63.61,-0.0799999999999983
67588,윤성빈,500,239,81,76,82,202,72,192,47.8,16.2,15.2,31.4,40.4,14.4,38.4,52.8,7.399999999999999
51897,조병현,1005,520,181,132,207,504,170,459,51.74,18.01,13.13,31.14,50.15,16.92,45.67,62.59,1.5900000000000034
54537,정현수,814,384,177,76,131,399,129,364,47.17,21.74,9.34,31.08,49.02,15.85,44.72,60.57,-1.8500000000000014
52206,최지강,541,260,108,60,92,234,90,204,48.06,19.96,11.09,31.05,43.25,16.64,37.71,54.34,4.810000000000002
55342,메르세데스,756,371,164,69,138,386,133,351,49.07,21.69,9.13,30.82,51.06,17.59,46.43,64.02,-1.990000000000002
68043,김민,915,420,174,107,139,416,154,368,45.9,19.02,11.69,30.71,45.46,16.83,40.22,57.05,0.4399999999999977
51460,이재희,147,63,22,23,18,66,24,60,42.86,14.97,15.65,30.61,44.9,16.33,40.82,57.14,-2.039999999999999
55130,톨허스트,713,357,150,68,139,374,132,333,50.07,21.04,9.54,30.58,52.45,18.51,46.7,65.22,-2.3800000000000026
50030,소형준,2271,1104,466,227,411,1274,464,1077,48.61,20.52,10.0,30.52,56.1,20.43,47.42,67.86,-7.490000000000002
53754,김서현,1013,448,174,135,139,416,149,381,44.23,17.18,13.33,30.5,41.07,14.71,37.61,52.32,3.1599999999999966
69213,윤산흠,266,120,56,25,39,125,47,112,45.11,21.05,9.4,30.45,46.99,17.67,42.11,59.77,-1.8800000000000026
62363,한현희,168,83,39,12,32,96,37,79,49.4,23.21,7.14,30.36,57.14,22.02,47.02,69.05,-7.740000000000002
67828,김성민,402,166,93,29,44,185,73,156,41.29,23.13,7.21,30.35,46.02,18.16,38.81,56.97,-4.730000000000004
55633,올러,2605,1263,524,266,473,1289,488,1098,48.48,20.12,10.21,30.33,49.48,18.73,42.15,60.88,-1.0
55855,화이트,2133,1055,397,248,410,1017,364,919,49.46,18.61,11.63,30.24,47.68,17.07,43.08,60.15,1.7800000000000011
52701,문동주,1977,933,348,249,336,931,345,832,47.19,17.6,12.59,30.2,47.09,17.45,42.08,59.53,0.09999999999999432
52528,반즈,837,383,164,88,131,401,159,333,45.76,19.59,10.51,30.11,47.91,19.0,39.78,58.78,-2.1499999999999986
53919,신영우,340,139,68,34,37,122,40,114,40.88,20.0,10.0,30.0,35.88,11.76,33.53,45.29,5.0
60559,박시영,167,73,26,24,23,67,27,57,43.71,15.57,14.37,29.94,40.12,16.17,34.13,50.3,3.5900000000000034
75867,김진성,1156,575,210,136,229,592,225,495,49.74,18.17,11.76,29.93,51.21,19.46,42.82,62.28,-1.4699999999999989
54354,헤이수스,2710,1318,493,317,508,1322,496,1169,48.63,18.19,11.7,29.89,48.78,18.3,43.14,61.44,-0.14999999999999858
65933,구창모,231,125,54,15,56,141,57,110,54.11,23.38,6.49,29.87,61.04,24.68,47.62,72.29,-6.93
55239,잭로그,2782,1359,578,251,530,1473,588,1192,48.85,20.78,9.02,29.8,52.95,21.14,42.85,63.98,-4.100000000000001
77829,김광현,2615,1201,463,315,423,1217,436,1110,45.93,17.71,12.05,29.75,46.54,16.67,42.45,59.12,-0.6099999999999994
55146,치리노스,2921,1367,596,272,499,1417,486,1288,46.8,20.4,9.31,29.72,48.51,16.64,44.09,60.73,-1.7100000000000009
