pitcher_pcode,pitcher_name,total_pitches,heart_count,shadow_count,waste_count,regulation_count,heart_pct,shadow_pct,waste_pct,all_strike_pct,regulation_pct,heart_ratio
64768,조이현,175,39,93,43,94,22.29,53.14,24.57,75.43,53.71,29.55
65933,구창모,231,57,110,64,120,24.68,47.62,27.71,72.29,51.95,34.13
62363,한현희,168,37,79,52,80,22.02,47.02,30.95,69.05,47.62,31.9
50030,소형준,2271,464,1077,730,1058,20.43,47.42,32.14,67.86,46.59,30.11
52202,윤태호,277,46,141,90,118,16.61,50.9,32.49,67.51,42.6,24.6
55032,패트릭,947,190,440,317,415,20.06,46.46,33.47,66.53,43.82,30.16
69045,알칸타라,1750,333,817,600,726,19.03,46.69,34.29,65.71,41.49,28.96
69446,원태인,2445,491,1108,846,1036,20.08,45.32,34.6,65.4,42.37,30.71
60337,김대유,170,31,80,59,73,18.24,47.06,34.71,65.29,42.94,27.93
55130,톨허스트,713,132,333,248,303,18.51,46.7,34.78,65.22,42.5,28.39
68092,한두솔,645,129,290,226,261,20.0,44.96,35.04,64.96,40.47,30.79
75421,오승환,192,34,90,68,80,17.71,46.88,35.42,64.58,41.67,27.42
55342,메르세데스,756,133,351,272,319,17.59,46.43,35.98,64.02,42.2,27.48
55239,잭로그,2782,588,1192,1002,1238,21.14,42.85,36.02,63.98,44.5,33.03
55138,코엔 윈,420,79,189,152,195,18.81,45.0,36.19,63.81,46.43,29.48
73117,우규민,612,128,262,222,260,20.92,42.81,36.27,63.73,42.48,32.82
54119,에르난데스,1275,255,556,464,550,20.0,43.61,36.39,63.61,43.14,31.44
50650,최용준,118,21,54,43,42,17.8,45.76,36.44,63.56,35.59,28.0
54443,레예스,834,149,381,304,316,17.87,45.68,36.45,63.55,37.89,28.11
78352,임창민,320,66,137,117,135,20.63,42.81,36.56,63.44,42.19,32.51
69969,전사민,1343,244,608,491,555,18.17,45.27,36.56,63.44,41.33,28.64
53375,후라도,2997,536,1365,1096,1217,17.88,45.55,36.57,63.43,40.61,28.2
68902,신민혁,2360,426,1065,869,1010,18.05,45.13,36.82,63.18,42.8,28.57
65062,김재윤,878,164,390,324,366,18.68,44.42,36.9,63.1,41.69,29.6
65516,배제성,504,91,227,186,208,18.06,45.04,36.9,63.1,41.27,28.62
66609,전상현,954,156,445,353,379,16.35,46.65,37.0,63.0,39.73,25.96
55903,라일리,3025,571,1331,1123,1248,18.88,44.0,37.12,62.88,41.26,30.02
52395,윤석원,592,100,272,220,244,16.89,45.95,37.16,62.84,41.22,26.88
60768,이태양,188,31,87,70,74,16.49,46.28,37.23,62.77,39.36,26.27
68220,곽빈,1853,323,837,693,764,17.43,45.17,37.4,62.6,41.23,27.84
67143,손주영,2609,495,1138,976,1101,18.97,43.62,37.41,62.59,42.2,30.31
51897,조병현,1005,170,459,376,413,16.92,45.67,37.41,62.59,41.09,27.03
53262,김유성,471,103,191,177,199,21.87,40.55,37.58,62.42,42.25,35.03
68419,최채흥,532,83,249,200,209,15.6,46.8,37.59,62.41,39.29,25.0
50464,이승민,1008,206,423,379,429,20.44,41.96,37.6,62.4,42.56,32.75
69041,손동현,941,189,398,354,404,20.09,42.3,37.62,62.38,42.93,32.2
55348,웰스,324,64,138,122,135,19.75,42.59,37.65,62.35,41.67,31.68
68619,윤중현,138,30,56,52,64,21.74,40.58,37.68,62.32,46.38,34.88
75867,김진성,1156,225,495,436,482,19.46,42.82,37.72,62.28,41.7,31.25
61101,임찬규,2529,454,1121,954,1023,17.95,44.33,37.72,62.28,40.45,28.83
55536,데이비슨,2197,396,972,829,907,18.02,44.24,37.73,62.27,41.28,28.95
69328,박주성,853,162,369,322,342,18.99,43.26,37.75,62.25,40.09,30.51
76715,류현진,2295,370,1056,869,913,16.12,46.01,37.86,62.14,39.78,25.95
55215,양재훈,338,67,143,128,137,19.82,42.31,37.87,62.13,40.53,31.9
55912,로건,3086,550,1365,1171,1260,17.82,44.23,37.95,62.05,40.83,28.72
65343,김택형,326,55,147,124,129,16.87,45.09,38.04,61.96,39.57,27.23
55046,박건우,113,26,44,43,50,23.01,38.94,38.05,61.95,44.25,37.14
68415,양창섭,1011,171,454,386,416,16.91,44.91,38.18,61.82,41.15,27.36
52809,전영준,934,169,406,359,363,18.09,43.47,38.44,61.56,38.87,29.39
54354,헤이수스,2710,496,1169,1045,1075,18.3,43.14,38.56,61.44,39.67,29.79
65048,김민수,739,144,310,285,305,19.49,41.95,38.57,61.43,41.27,31.72
54803,최현석,280,47,125,108,109,16.79,44.64,38.57,61.43,38.93,27.33
55532,감보아,1825,327,794,704,725,17.92,43.51,38.58,61.42,39.73,29.17
62869,문승원,1856,312,828,716,718,16.81,44.61,38.58,61.42,38.69,27.37
55743,정우주,995,181,430,384,425,18.19,43.22,38.59,61.41,42.71,29.62
64350,하영민,2599,455,1141,1003,1033,17.51,43.9,38.59,61.41,39.75,28.51
52903,조민석,251,33,121,97,92,13.15,48.21,38.65,61.35,36.65,21.43
55730,폰세,2964,501,1312,1151,1178,16.9,44.26,38.83,61.17,39.74,27.63
68639,하준영,108,17,49,42,41,15.74,45.37,38.89,61.11,37.96,25.76
65707,주현상,789,136,346,307,280,17.24,43.85,38.91,61.09,35.49,28.22
54610,성영탁,713,130,305,278,300,18.23,42.78,38.99,61.01,42.08,29.89
67266,박치국,956,166,417,373,360,17.36,43.62,39.02,60.98,37.66,28.47
54503,박준우,264,43,118,103,105,16.29,44.7,39.02,60.98,39.77,26.71
65949,류진욱,1000,179,430,391,380,17.9,43.0,39.1,60.9,38.0,29.39
54904,손주환,795,141,343,311,323,17.74,43.14,39.12,60.88,40.63,29.13
55633,올러,2605,488,1098,1019,1053,18.73,42.15,39.12,60.88,40.42,30.77
69054,이상동,657,111,289,257,262,16.89,43.99,39.12,60.88,39.88,27.75
51715,김기중,253,50,104,99,99,19.76,41.11,39.13,60.87,39.13,32.47
50556,최준용,825,128,374,323,323,15.52,45.33,39.15,60.85,39.15,25.5
54640,네일,2578,466,1102,1010,1051,18.08,42.75,39.18,60.82,40.77,29.72
62951,이형범,199,37,84,78,79,18.59,42.21,39.2,60.8,39.7,30.58
53301,박윤성,887,151,388,348,343,17.02,43.74,39.23,60.77,38.67,28.01
55146,치리노스,2921,486,1288,1147,1163,16.64,44.09,39.27,60.73,39.82,27.4
55268,최민석,1326,230,575,521,509,17.35,43.36,39.29,60.71,38.39,28.57
54537,정현수,814,129,364,321,313,15.85,44.72,39.43,60.57,38.45,26.17
65522,김강현,1128,167,516,445,425,14.8,45.74,39.45,60.55,37.68,24.45
65320,최원태,2240,406,950,884,915,18.13,42.41,39.46,60.54,40.85,29.94
69134,이정용,562,103,237,222,234,18.33,42.17,39.5,60.5,41.64,30.29
53892,이로운,1263,224,540,499,514,17.74,42.76,39.51,60.49,40.7,29.32
69745,김도현,2172,391,922,859,866,18.0,42.45,39.55,60.45,39.87,29.78
65056,엄상백,1650,272,725,653,633,16.48,43.94,39.58,60.42,38.36,27.28
51454,이승현,1917,335,823,759,739,17.48,42.93,39.59,60.41,38.55,28.93
51594,송재영,500,83,219,198,197,16.6,43.8,39.6,60.4,39.4,27.48
68928,김시훈,482,75,216,191,177,15.56,44.81,39.63,60.37,36.72,25.77
51264,최승용,2091,354,906,831,838,16.93,43.33,39.74,60.26,40.08,28.1
54833,앤더슨,2887,477,1261,1149,1147,16.52,43.68,39.8,60.2,39.73,27.45
64580,김재열,397,69,170,158,159,17.38,42.82,39.8,60.2,40.05,28.87
55855,화이트,2133,364,919,850,824,17.07,43.08,39.85,60.15,38.63,28.37
67703,박상원,1086,196,457,433,456,18.05,42.08,39.87,60.13,41.99,30.02
50859,오원석,2266,380,982,904,860,16.77,43.34,39.89,60.11,37.95,27.9
77637,양현종,2605,432,1131,1042,1014,16.58,43.42,40.0,60.0,38.93,27.64
52060,박영현,1145,205,482,458,458,17.9,42.1,40.0,60.0,40.0,29.84
54755,와이스,2949,525,1244,1180,1130,17.8,42.18,40.01,59.99,38.32,29.68
77446,백정현,587,106,246,235,231,18.06,41.91,40.03,59.97,39.35,30.11
69360,조영건,1301,230,550,521,510,17.68,42.28,40.05,59.95,39.2,29.49
50662,정해영,1033,168,451,414,384,16.26,43.66,40.08,59.92,37.17,27.14
62360,김태훈,1150,173,516,461,424,15.04,44.87,40.09,59.91,36.87,25.11
60146,이승현,647,110,277,260,237,17.0,42.81,40.19,59.81,36.63,28.42
69213,윤산흠,266,47,112,107,107,17.67,42.11,40.23,59.77,40.23,29.56
63492,이재익,159,32,63,64,62,20.13,39.62,40.25,59.75,38.99,33.68
52641,황동하,655,105,286,264,249,16.03,43.66,40.31,59.69,38.02,26.85
55301,이준우,460,90,184,186,187,19.57,40.0,40.43,59.57,40.65,32.85
