pitcher_pcode,pitcher_name,2021,2022,2023,2024,2025
50030,소형준,48.4,56.66,51.72,42.5,56.1
50036,이강준,39.79,38.73,,,43.78
50040,데스파이네,49.48,51.76,,,
50106,유영찬,,,47.71,46.99,43.36
50109,성재헌,,,,46.11,
50126,이민호,46.17,49.55,51.29,,
50157,김윤식,46.48,53.4,52.47,44.78,
50203,권휘,43.46,44.34,,47.24,
50205,박웅,49.71,48.67,,,
50206,최종인,,,,46.4,39.18
50211,제환유,,,,,43.1
50296,조제영,44.09,,,,
50354,이종민,34.33,,46.1,47.11,
50360,김동혁,42.43,41.09,45.47,45.41,
50393,김동욱,46.0,,,50.0,
50404,뷰캐넌,49.72,51.23,57.43,,
50411,박주혁,,52.03,,,
50430,홍원표,,,53.57,39.2,44.59
50441,황동재,,50.15,50.63,45.31,42.21
50449,허윤동,62.86,51.05,54.0,,
50464,이승민,51.36,47.06,,47.98,50.1
50556,최준용,57.53,54.89,50.54,48.75,48.97
50558,스트레일리,50.28,49.43,49.12,,
50596,홍민기,,,,40.78,46.08
50636,브룩스,55.56,,,,
50641,장재혁,,44.78,,,32.5
50650,최용준,41.14,,,,45.76
50662,정해영,50.65,46.61,52.68,46.41,46.27
50705,강재민,51.04,47.16,49.3,,45.98
50706,장웅정,50.38,,,,
50711,김승일,,,,44.44,30.91
50720,남지민,40.99,48.41,55.08,38.81,
50726,한승주,,52.24,46.98,44.96,
50812,박시후,,,,47.41,45.3
50813,양선률,44.23,,,,
50815,킹험,47.05,40.87,,,
50859,오원석,47.27,51.56,49.22,46.28,47.31
50901,안인산,37.07,,,,
50904,이종준,,,,45.75,
50905,강태경,46.44,,,,
50992,김태경,47.48,49.56,,,42.3
50995,정구범,,,47.52,,
51058,한차현,43.04,,,42.35,
51060,지명성,46.67,,,,
51097,김영현,,,50.69,48.03,
51110,이믿음,,,,43.62,
51111,송승기,,47.4,,,46.91
51136,수아레즈,48.91,,,,
51143,강효종,,45.83,50.1,,
51154,김진수,,,,50.23,54.55
51230,김동주,,49.35,49.6,49.08,
51234,로켓,55.27,,,,
51257,미란다,51.36,32.14,,,
51264,최승용,54.11,51.19,52.03,52.24,49.26
51301,김성진,47.47,43.89,46.23,,
51334,스미스,42.93,,,,
51359,장재영,42.01,47.65,46.86,,
51393,김준형,48.23,43.94,50.0,,
51439,몽고메리,48.93,,,,
51454,이승현,47.72,49.56,51.41,47.87,47.42
51460,이재희,46.15,,43.36,,44.9
51516,김진욱,44.03,43.41,47.3,46.13,43.05
51526,우강훈,,,45.87,46.96,43.91
51546,정우준,38.6,,,38.28,47.06
51567,프랑코,51.13,,,,
51586,김창훈,44.44,,50.0,,
51594,송재영,48.49,,,43.51,47.2
51619,멩덴,52.02,,,,
51636,다카하시,48.02,,,,
51648,이의리,47.28,49.77,50.42,45.83,42.65
51665,장민기,43.78,,,33.87,
51668,이승재,47.47,,,,
51713,김규연,,42.0,42.26,45.94,
51715,김기중,45.7,46.63,50.59,52.52,49.8
51722,카펜터,48.51,47.45,,,
51761,배동현,48.34,,,,
51809,조요한,45.03,45.97,,,
51833,가빌리오,49.16,,,,
51834,르위키,50.67,,,,
51863,폰트,53.48,59.73,,,
51867,김건우,46.81,45.0,,,45.3
51895,장지훈,50.66,51.35,,49.56,
51897,조병현,38.67,,,48.79,50.15
51948,이용준,25.0,46.41,48.09,47.45,
51967,파슨스,48.56,45.05,,,
51994,한재승,,43.57,46.95,46.43,40.78
52043,벤자민,,55.57,56.35,47.17,
52060,박영현,,50.49,54.72,52.48,48.3
52063,이상우,,53.33,,,
52119,허준혁,,41.46,,,31.15
52145,플럿코,,53.24,52.72,,
52149,조원태,,40.0,,,
52202,윤태호,,,,,52.35
52204,이병헌,,44.55,47.37,44.39,41.73
52206,최지강,,42.86,44.1,43.39,43.25
52234,스탁,,52.33,,,
52257,브랜든,,51.5,45.3,44.36,
52308,애플러,,45.06,,,
52330,주승우,,38.89,49.04,52.49,44.79
52391,송정인,,29.51,,,
52394,노운현,,47.41,,,
52395,윤석원,,,50.13,50.29,51.01
52397,이명종,,45.41,49.0,48.84,
52457,수아레즈,,49.25,52.46,,
52460,김서준,,36.67,51.47,,
52528,반즈,,48.13,48.89,46.1,47.91
52530,이민석,,44.78,38.61,43.56,44.91
52557,스파크맨,,51.54,,,
52558,진승현,,41.46,43.06,44.83,
52606,파노니,,52.58,50.53,,
52637,놀린,,57.72,,,
52639,최지민,,45.52,49.26,42.47,44.59
52641,황동하,,,47.92,46.89,48.4
52645,로니,,46.59,,,
52701,문동주,,40.98,50.91,48.17,47.09
52707,라미레즈,,44.08,,,
52715,이재민,,34.55,,,
52720,페냐,,45.21,47.42,43.64,
52731,박준영,,48.51,37.36,,39.81
52808,모리만도,,54.57,,,
52809,전영준,,48.08,,,47.75
52833,노바,,48.29,,,
52867,윤태현,,37.74,,,
52868,이기순,,,41.27,40.92,
52873,신헌민,,,47.06,53.42,
52902,임지민,,,,,36.67
52903,조민석,,45.57,48.21,,47.41
52950,더모디,,51.56,,,
52992,이준혁,,,,,42.86
52994,박동수,,46.13,,,
52995,김녹원,,,,,46.73
53006,강건,,,50.51,43.4,40.68
53029,김정운,,,50.0,,
53040,슐서,,,53.27,,
53139,박명근,,,48.41,50.36,45.83
53164,김동규,,,39.6,,34.68
53233,딜런,,,48.33,,
53259,최준호,,,,45.83,42.3
53262,김유성,,,40.24,44.7,49.26
53298,백승우,,,40.0,,
53300,오상원,,,40.0,,
53301,박윤성,,,,46.08,48.48
53312,김건희,,,53.7,,
53322,맥키니,,,47.09,,
53375,후라도,,,54.14,51.77,49.65
53455,이호성,,,49.29,47.15,47.96
53546,윌커슨,,,52.09,51.45,
53560,석상호,,,36.67,,
53562,이진하,,,45.0,,
53594,이태연,,,42.08,,
53596,장세진,,,28.13,,
53609,곽도규,,,50.46,46.18,44.63
53613,윤영철,,,48.96,44.85,44.24
