pitcher_pcode,pitcher_name,shadow_pitches,shadow_called_strikes,scsr
52731,박준영,36,16,44.44
53919,신영우,114,49,42.98
72523,고효준,155,64,41.29
63492,이재익,63,26,41.27
54802,박기호,148,61,41.22
67828,김성민,156,64,41.03
55568,박세현,35,14,40.0
54729,황준서,412,162,39.32
69134,이정용,237,92,38.82
54368,김연주,395,152,38.48
63248,함덕주,160,60,37.5
52206,최지강,204,76,37.25
54537,정현수,364,135,37.09
55215,양재훈,143,53,37.06
53609,곽도규,54,20,37.04
60841,박종훈,165,61,36.97
77211,이용찬,149,55,36.91
51526,우강훈,84,31,36.9
67116,오석주,414,152,36.71
52992,이준혁,250,91,36.4
66858,정동윤,165,60,36.36
67956,김태현,33,12,36.36
68249,박신지,372,135,36.29
55268,최민석,575,208,36.17
65665,이준영,224,81,36.16
79140,최동환,136,49,36.03
50992,김태경,159,57,35.85
63959,임정호,146,52,35.62
62363,한현희,79,28,35.44
55313,정현우,671,237,35.32
65769,김범수,287,101,35.19
55394,박정훈,162,57,35.19
53898,송영진,452,159,35.18
63950,장현식,330,116,35.15
68830,김정우,137,48,35.04
55342,메르세데스,351,123,35.04
53006,강건,40,14,35.0
55138,코엔 윈,189,66,34.92
55322,로젠버그,613,214,34.91
69213,윤산흠,112,39,34.82
54063,원상현,433,150,34.64
52528,반즈,333,115,34.53
67954,김진호,473,163,34.46
65516,배제성,227,78,34.36
55633,올러,1098,377,34.34
61101,임찬규,1121,385,34.34
61145,이우찬,146,50,34.25
63145,배재준,73,25,34.25
53973,목지훈,489,167,34.15
68092,한두솔,290,99,34.14
63765,김종수,422,143,33.89
53892,이로운,540,183,33.89
55146,치리노스,1288,436,33.85
54904,손주환,343,116,33.82
54768,조동욱,435,147,33.79
55257,콜어빈,1040,349,33.56
54363,손현기,48,16,33.33
55764,권민규,63,21,33.33
67588,윤성빈,192,64,33.33
53613,윤영철,402,134,33.33
54119,에르난데스,556,185,33.27
52639,최지민,403,134,33.25
53455,이호성,413,137,33.17
54503,박준우,118,39,33.05
51454,이승현,823,272,33.05
55130,톨허스트,333,110,33.03
51648,이의리,306,101,33.01
55239,잭로그,1192,393,32.97
55455,배찬승,389,128,32.9
69113,임준형,64,21,32.81
54803,최현석,125,41,32.8
50030,소형준,1077,353,32.78
54755,와이스,1244,407,32.72
51715,김기중,104,34,32.69
55460,가라비토,572,187,32.69
77263,김강률,92,30,32.61
55301,이준우,184,60,32.61
68415,양창섭,454,148,32.6
65949,류진욱,430,140,32.56
69594,박진,495,161,32.53
77446,백정현,246,80,32.52
60337,김대유,80,26,32.5
50859,오원석,982,319,32.48
69969,전사민,608,197,32.4
68902,신민혁,1065,345,32.39
67365,양지율,105,34,32.38
67143,손주영,1138,368,32.34
