game_id,game_date,season_year,home_team_code,away_team_code,pitcher_team,total_pa,total_pitches,avg_speed,max_speed,min_speed,innings_pitched,days_rest
20210407SSOB02021,2021-04-07,2021,OB,SS,away,22,94,135.11702127659575,148.0,108.0,5,
20210413HHSS02021,2021-04-13,2021,SS,HH,away,21,95,131.2,145.0,108.0,6,6.0
20210418SSLT02021,2021-04-18,2021,LT,SS,away,26,95,131.32631578947368,148.0,115.0,7,5.0
20210424SSHT02021,2021-04-24,2021,HT,SS,away,27,97,136.16494845360825,149.0,118.0,6,6.0
20210430LGSS02021,2021-04-30,2021,SS,LG,away,27,99,134.4848484848485,147.0,114.0,7,6.0
20210507LTSS02021,2021-05-07,2021,SS,LT,away,25,91,135.28571428571428,148.0,111.0,7,7.0
20210513SSKT02021,2021-05-13,2021,KT,SS,away,30,100,132.4,146.0,113.0,7,6.0
20210519WOSS02021,2021-05-19,2021,SS,WO,away,27,107,133.58878504672896,148.0,115.0,6,6.0
20210527SSNC02021,2021-05-27,2021,NC,SS,away,27,98,135.73469387755102,148.0,110.0,6,8.0
20210606SSWO02021,2021-06-06,2021,WO,SS,away,23,102,135.34313725490196,150.0,113.0,5,10.0
20210612NCSS02021,2021-06-12,2021,SS,NC,away,26,100,134.47,149.0,117.0,7,6.0
20210618SSLT02021,2021-06-18,2021,LT,SS,away,21,78,137.06410256410257,149.0,119.0,5,6.0
20210624HHSS02021,2021-06-24,2021,SS,HH,away,26,110,133.56363636363636,147.0,111.0,7,6.0
20210630SSSK12021,2021-06-30,2021,SK,SS,away,29,111,134.53153153153153,149.0,115.0,7,6.0
20210710LTSS02021,2021-07-10,2021,SS,LT,away,18,74,134.56756756756758,147.0,112.0,5,10.0
20210820SKSS02021,2021-08-20,2021,SS,SK,away,24,103,135.01941747572815,147.0,116.0,6,41.0
20210827SSLG02021,2021-08-27,2021,LG,SS,away,26,94,130.69148936170214,147.0,115.0,7,7.0
20210902SSHT02021,2021-09-02,2021,HT,SS,away,26,91,133.12087912087912,145.0,115.0,7,6.0
20210908LTSS02021,2021-09-08,2021,SS,LT,away,21,99,130.4747474747475,145.0,114.0,6,6.0
20210914LGSS02021,2021-09-14,2021,SS,LG,away,24,97,136.29896907216494,147.0,115.0,5,6.0
20210919SSSK02021,2021-09-19,2021,SK,SS,away,27,85,133.52941176470588,147.0,111.0,6,5.0
20210925NCSS02021,2021-09-25,2021,SS,NC,away,24,94,131.88297872340425,144.0,110.0,6,6.0
20211001HHSS02021,2021-10-01,2021,SS,HH,away,28,111,132.86486486486487,145.0,112.0,6,6.0
20211007SSNC02021,2021-10-07,2021,NC,SS,away,26,98,133.28571428571428,146.0,110.0,7,6.0
20211014SSHT02021,2021-10-14,2021,HT,SS,away,25,95,133.6,145.0,113.0,5,7.0
20211022KTSS02021,2021-10-22,2021,SS,KT,away,29,90,136.01111111111112,148.0,116.0,8,8.0
20220405SSOB02022,2022-04-05,2022,OB,SS,away,23,98,134.8673469387755,147.0,118.0,6,165.0
20220412HHSS02022,2022-04-12,2022,SS,HH,away,26,106,136.3679245283019,147.0,118.0,7,7.0
20220417SSSK02022,2022-04-17,2022,SK,SS,away,27,98,136.64285714285714,149.0,120.0,5,5.0
20220430SSHT02022,2022-04-30,2022,HT,SS,away,29,106,134.77358490566039,148.0,118.0,6,13.0
20220506SSLT02022,2022-05-06,2022,LT,SS,away,29,93,135.1720430107527,148.0,116.0,8,6.0
20220512SKSS02022,2022-05-12,2022,SS,SK,away,27,102,133.90196078431373,146.0,122.0,7,6.0
20220519SSHH02022,2022-05-19,2022,HH,SS,away,30,112,132.96428571428572,149.0,114.0,8,7.0
20220525HTSS02022,2022-05-25,2022,SS,HT,away,25,96,134.36458333333334,145.0,115.0,5,6.0
20220531SSWO02022,2022-05-31,2022,WO,SS,away,23,100,134.38,147.0,115.0,5,6.0
20220611NCSS02022,2022-06-11,2022,SS,NC,away,25,104,138.22115384615384,150.0,115.0,7,11.0
20220617SSHT02022,2022-06-17,2022,HT,SS,away,28,91,137.4065934065934,149.0,111.0,7,6.0
20220623WOSS02022,2022-06-23,2022,SS,WO,away,29,92,135.65217391304347,149.0,115.0,6,6.0
20220629KTSS02022,2022-06-29,2022,SS,KT,away,21,76,134.23684210526315,148.0,109.0,6,6.0
20220706LGSS02022,2022-07-06,2022,SS,LG,away,24,88,131.70454545454547,145.0,111.0,6,7.0
20220712SSKT02022,2022-07-12,2022,KT,SS,away,22,96,132.46875,144.0,117.0,5,6.0
20220722SSWO02022,2022-07-22,2022,WO,SS,away,20,92,134.29347826086956,146.0,110.0,5,10.0
20220728HHSS02022,2022-07-28,2022,SS,HH,away,27,105,134.07619047619048,147.0,112.0,8,6.0
20220804SSOB02022,2022-08-04,2022,OB,SS,away,25,84,136.66666666666666,150.0,111.0,7,7.0
