count_state,슬라이더,직구,체인지업,커브,커터,투심
0-0,22.2,46.800000000000004,21.8,6.4,2.6,0.2
0-1,17.599999999999998,38.6,24.4,15.9,3.1,0.2
0-2,26.8,41.0,26.3,2.7,3.1,0.0
1-0,29.5,43.9,21.5,1.7999999999999998,3.0,0.2
1-1,21.8,37.8,32.7,4.7,2.9000000000000004,0.1
1-2,23.200000000000003,41.4,27.400000000000002,3.6999999999999997,4.1000000000000005,0.2
2-0,29.5,56.8,9.9,0.5,3.2,0.0
2-1,27.6,46.300000000000004,20.5,2.1,3.5000000000000004,0.0
2-2,23.7,40.6,31.0,1.2,3.5999999999999996,0.0
3-0,3.5000000000000004,93.0,2.6,0.0,0.8999999999999999,0.0
3-1,21.099999999999998,65.3,12.0,0.4,1.2,0.0
3-2,20.3,49.5,27.6,0.3,2.1,0.2
