zone,count,percentage
low_out_middle,2206,17.79
low_out_right_out,1720,13.87
low_out_left_out,1358,10.95
low_middle,688,5.55
low_right_out,646,5.21
middle_middle,588,4.74
low_out_right,584,4.71
low_out_left,575,4.64
high_middle,543,4.38
low_left_out,456,3.68
middle_right_out,448,3.61
middle_left_out,408,3.29
high_left_out,402,3.24
high_right_out,318,2.56
high_out_middle,214,1.73
low_right,209,1.69
high_out_left_out,179,1.44
middle_right,150,1.21
middle_left,142,1.14
high_right,137,1.1
low_left,132,1.06
high_left,120,0.97
high_out_right_out,93,0.75
high_out_left,44,0.35
high_out_right,42,0.34
