game_date,season_year,avg_speed,max_speed,total_pitches,avg_speed_ma5,max_speed_ma5
2021-04-07,2021,135.11702127659575,148.0,94,135.12,148.0
2021-04-13,2021,131.2,145.0,95,133.16,146.5
2021-04-18,2021,131.32631578947368,148.0,95,132.55,147.0
2021-04-24,2021,136.16494845360825,149.0,97,133.45,147.5
2021-04-30,2021,134.4848484848485,147.0,99,133.66,147.4
2021-05-07,2021,135.28571428571428,148.0,91,133.69,147.4
2021-05-13,2021,132.4,146.0,100,133.93,147.6
2021-05-19,2021,133.58878504672896,148.0,107,134.38,147.6
2021-05-27,2021,135.73469387755102,148.0,98,134.3,147.4
2021-06-06,2021,135.34313725490196,150.0,102,134.47,148.0
2021-06-12,2021,134.47,149.0,100,134.31,148.2
2021-06-18,2021,137.06410256410257,149.0,78,135.24,148.8
2021-06-24,2021,133.56363636363636,147.0,110,135.24,148.6
2021-06-30,2021,134.53153153153153,149.0,111,134.99,148.8
2021-07-10,2021,134.56756756756758,147.0,74,134.84,148.2
2021-08-20,2021,135.01941747572815,147.0,103,134.95,147.8
2021-08-27,2021,130.69148936170214,147.0,94,133.67,147.4
2021-09-02,2021,133.12087912087912,145.0,91,133.59,147.0
2021-09-08,2021,130.4747474747475,145.0,99,132.77,146.2
2021-09-14,2021,136.29896907216494,147.0,97,133.12,146.2
2021-09-19,2021,133.52941176470588,147.0,85,132.82,146.2
2021-09-25,2021,131.88297872340425,144.0,94,133.06,145.6
2021-10-01,2021,132.86486486486487,145.0,111,133.01,145.6
2021-10-07,2021,133.28571428571428,146.0,98,133.57,145.8
2021-10-14,2021,133.6,145.0,95,133.03,145.4
2021-10-22,2021,136.01111111111112,148.0,90,133.53,145.6
2022-04-05,2022,134.8673469387755,147.0,98,134.13,146.2
2022-04-12,2022,136.3679245283019,147.0,106,134.83,146.6
2022-04-17,2022,136.64285714285714,149.0,98,135.5,147.2
2022-04-30,2022,134.77358490566039,148.0,106,135.73,147.8
2022-05-06,2022,135.1720430107527,148.0,93,135.56,147.8
2022-05-12,2022,133.90196078431373,146.0,102,135.37,147.6
2022-05-19,2022,132.96428571428572,149.0,112,134.69,148.0
2022-05-25,2022,134.36458333333334,145.0,96,134.24,147.2
2022-05-31,2022,134.38,147.0,100,134.16,147.0
2022-06-11,2022,138.22115384615384,150.0,104,134.77,147.4
2022-06-17,2022,137.4065934065934,149.0,91,135.47,148.0
2022-06-23,2022,135.65217391304347,149.0,92,136.0,148.0
2022-06-29,2022,134.23684210526315,148.0,76,135.98,148.6
2022-07-06,2022,131.70454545454547,145.0,88,135.44,148.2
2022-07-12,2022,132.46875,144.0,96,134.29,147.0
2022-07-22,2022,134.29347826086956,146.0,92,133.67,146.4
2022-07-28,2022,134.07619047619048,147.0,105,133.36,146.0
2022-08-04,2022,136.66666666666666,150.0,84,133.84,146.4
2022-08-12,2022,132.97142857142856,146.0,105,134.1,146.6
2022-08-18,2022,134.92134831460675,149.0,89,134.59,147.6
2022-08-25,2022,133.3877551020408,148.0,98,134.4,148.0
2022-09-01,2022,133.96808510638297,149.0,94,134.38,148.4
2022-09-08,2022,137.48543689320388,153.0,103,134.55,149.0
2022-09-14,2022,135.59375,149.0,96,135.07,149.6
2022-09-20,2022,134.81632653061226,150.0,98,135.05,149.8
2022-09-28,2022,137.38144329896906,151.0,97,135.85,150.4
2022-10-04,2022,132.24,145.0,100,135.5,149.6
2023-04-04,2023,134.5047619047619,148.0,105,134.91,148.6
2023-04-11,2023,133.74683544303798,146.0,79,134.54,148.0
2023-04-16,2023,133.86138613861385,146.0,101,134.35,147.2
2023-04-22,2023,136.0,149.0,99,134.07,146.8
2023-04-29,2023,133.77981651376146,144.0,109,134.38,146.6
2023-05-10,2023,132.96703296703296,145.0,91,134.07,146.0
2023-05-16,2023,134.51612903225808,146.0,93,134.22,146.0
2023-05-23,2023,135.3235294117647,146.0,102,134.52,146.0
2023-05-28,2023,137.15625,147.0,96,134.75,145.6
2023-06-03,2023,136.22,148.0,100,135.24,146.4
2023-06-09,2023,137.2549019607843,147.0,102,136.09,146.8
2023-06-21,2023,134.07070707070707,148.0,99,136.01,147.2
2023-06-27,2023,134.8404255319149,148.0,94,135.91,147.6
2023-07-02,2023,133.52336448598132,147.0,107,135.18,147.6
2023-07-12,2023,137.07692307692307,148.0,104,135.35,147.6
2023-07-22,2023,136.28,148.0,100,135.16,147.8
2023-07-28,2023,134.64705882352942,148.0,102,135.27,147.8
