first_10_avg,last_10_avg,speed_drop,game_id,total_pitches,pitch_count_category
135.7,136.5,-0.8000000000000114,20210407SSOB02021,94,많음(81구~)
131.2,130.9,0.29999999999998295,20210413HHSS02021,95,많음(81구~)
129.2,134.0,-4.800000000000011,20210418SSLT02021,95,많음(81구~)
136.5,139.0,-2.5,20210424SSHT02021,97,많음(81구~)
137.5,129.3,8.199999999999989,20210430LGSS02021,99,많음(81구~)
136.3,139.5,-3.1999999999999886,20210507LTSS02021,91,많음(81구~)
126.3,126.8,-0.5,20210513SSKT02021,100,많음(81구~)
133.6,130.1,3.5,20210519WOSS02021,107,많음(81구~)
134.2,135.0,-0.8000000000000114,20210527SSNC02021,98,많음(81구~)
128.9,130.6,-1.6999999999999886,20210606SSWO02021,102,많음(81구~)
135.5,133.4,2.0999999999999943,20210612NCSS02021,100,많음(81구~)
135.1,138.1,-3.0,20210618SSLT02021,78,보통(51-80구)
129.1,134.9,-5.800000000000011,20210624HHSS02021,110,많음(81구~)
135.5,136.6,-1.0999999999999943,20210630SSSK12021,111,많음(81구~)
136.6,130.3,6.299999999999983,20210710LTSS02021,74,보통(51-80구)
135.6,134.0,1.5999999999999943,20210820SKSS02021,103,많음(81구~)
131.6,131.1,0.5,20210827SSLG02021,94,많음(81구~)
132.5,125.1,7.400000000000006,20210902SSHT02021,91,많음(81구~)
128.7,131.0,-2.3000000000000114,20210908LTSS02021,99,많음(81구~)
135.3,134.2,1.1000000000000227,20210914LGSS02021,97,많음(81구~)
131.1,134.8,-3.700000000000017,20210919SSSK02021,85,많음(81구~)
130.3,132.3,-2.0,20210925NCSS02021,94,많음(81구~)
136.1,129.9,6.199999999999989,20211001HHSS02021,111,많음(81구~)
129.0,134.4,-5.400000000000006,20211007SSNC02021,98,많음(81구~)
131.8,134.0,-2.1999999999999886,20211014SSHT02021,95,많음(81구~)
138.8,133.3,5.5,20211022KTSS02021,90,많음(81구~)
136.2,131.9,4.299999999999983,20220405SSOB02022,98,많음(81구~)
134.4,141.9,-7.5,20220412HHSS02022,106,많음(81구~)
134.8,138.1,-3.299999999999983,20220417SSSK02022,98,많음(81구~)
138.0,137.2,0.8000000000000114,20220430SSHT02022,106,많음(81구~)
130.5,140.1,-9.599999999999994,20220506SSLT02022,93,많음(81구~)
137.0,134.9,2.0999999999999943,20220512SKSS02022,102,많음(81구~)
135.2,134.7,0.5,20220519SSHH02022,112,많음(81구~)
132.8,132.9,-0.09999999999999432,20220525HTSS02022,96,많음(81구~)
132.8,130.7,2.1000000000000227,20220531SSWO02022,100,많음(81구~)
139.1,133.6,5.5,20220611NCSS02022,104,많음(81구~)
136.5,134.3,2.1999999999999886,20220617SSHT02022,91,많음(81구~)
129.0,136.4,-7.400000000000006,20220623WOSS02022,92,많음(81구~)
130.5,137.2,-6.699999999999989,20220629KTSS02022,76,보통(51-80구)
131.0,135.8,-4.800000000000011,20220706LGSS02022,88,많음(81구~)
124.7,134.1,-9.399999999999991,20220712SSKT02022,96,많음(81구~)
132.5,141.2,-8.699999999999989,20220722SSWO02022,92,많음(81구~)
134.5,131.7,2.8000000000000114,20220728HHSS02022,105,많음(81구~)
132.8,137.0,-4.199999999999989,20220804SSOB02022,84,많음(81구~)
141.1,132.2,8.900000000000006,20220812HTSS02022,105,많음(81구~)
138.0,130.8,7.199999999999989,20220818SSHH02022,89,많음(81구~)
131.4,133.5,-2.0999999999999943,20220825SSLT02022,98,많음(81구~)
134.5,132.0,2.5,20220901SSHT02022,94,많음(81구~)
141.2,131.3,9.899999999999977,20220908LTSS02022,103,많음(81구~)
132.9,136.4,-3.5,20220914SSNC02022,96,많음(81구~)
134.3,138.3,-4.0,20220920SSWO02022,98,많음(81구~)
140.2,138.2,2.0,20220928SSNC02022,97,많음(81구~)
131.8,132.1,-0.29999999999998295,20221004SSKT02022,100,많음(81구~)
134.7,137.0,-2.3000000000000114,20230404HHSS02023,105,많음(81구~)
134.4,139.1,-4.699999999999989,20230411SKSS02023,79,보통(51-80구)
126.2,138.4,-12.200000000000003,20230416LTSS02023,101,많음(81구~)
136.6,139.8,-3.200000000000017,20230422SSHT02023,99,많음(81구~)
132.9,136.0,-3.0999999999999943,20230429SSKT02023,109,많음(81구~)
133.8,132.1,1.700000000000017,20230510SSHH02023,91,많음(81구~)
129.1,134.5,-5.400000000000006,20230516HTSS02023,93,많음(81구~)
134.6,139.8,-5.200000000000017,20230523SSOB02023,102,많음(81구~)
134.8,139.6,-4.799999999999983,20230528KTSS02023,96,많음(81구~)
133.0,139.9,-6.900000000000006,20230603SSHH02023,100,많음(81구~)
137.7,137.4,0.29999999999998295,20230609LTSS02023,102,많음(81구~)
127.2,136.3,-9.100000000000009,20230621WOSS02023,99,많음(81구~)
139.7,133.4,6.299999999999983,20230627SSLT02023,94,많음(81구~)
129.3,130.1,-0.799999999999983,20230702HHSS02023,107,많음(81구~)
136.0,141.5,-5.5,20230712SSHT02023,104,많음(81구~)
134.0,138.3,-4.300000000000011,20230722KTSS02023,100,많음(81구~)
136.4,132.8,3.5999999999999943,20230728SSWO02023,102,많음(81구~)
136.0,143.9,-7.900000000000006,20230803HTSS02023,97,많음(81구~)
134.3,133.8,0.5,20230809SSOB02023,103,많음(81구~)
132.4,140.4,-8.0,20230815LGSS02023,108,많음(81구~)
125.7,131.9,-6.200000000000003,20230820HTSS02023,33,적음(~50구)
130.5,138.8,-8.300000000000011,20230827WOSS02023,96,많음(81구~)
138.4,133.3,5.099999999999994,20230902NCSS02023,39,적음(~50구)
129.3,133.9,-4.599999999999994,20230907SSLT02023,104,많음(81구~)
134.5,137.5,-3.0,20230914KTSS02023,103,많음(81구~)
128.1,138.1,-10.0,20231015SSNC02023,107,많음(81구~)
130.4,130.9,-0.5,20240327SSLG02024,98,많음(81구~)
130.2,133.0,-2.8000000000000114,20240402WOSS02024,90,많음(81구~)
132.6,131.0,1.5999999999999943,20240409SSLT02024,98,많음(81구~)
132.5,134.7,-2.1999999999999886,20240414NCSS02024,102,많음(81구~)
129.6,137.1,-7.5,20240420SSHH02024,102,많음(81구~)
133.7,135.9,-2.200000000000017,20240426SSWO02024,91,많음(81구~)
130.4,139.9,-9.5,20240502SSOB02024,91,많음(81구~)
133.0,135.4,-2.4000000000000057,20240508HTSS02024,96,많음(81구~)
132.5,141.4,-8.900000000000006,20240514SSSK02024,98,많음(81구~)
134.7,137.0,-2.3000000000000114,20240521KTSS02024,98,많음(81구~)
127.3,137.4,-10.100000000000009,20240526SSLT02024,112,많음(81구~)
141.6,138.3,3.299999999999983,20240601HHSS02024,90,많음(81구~)
136.9,135.2,1.700000000000017,20240607SSWO02024,99,많음(81구~)
134.9,138.0,-3.0999999999999943,20240619SKSS02024,114,많음(81구~)
133.4,136.8,-3.4000000000000057,20240625SSLG02024,101,많음(81구~)
128.5,138.4,-9.900000000000006,20240630SSKT12024,121,
134.0,134.1,-0.09999999999999432,20240713SSOB02024,21,적음(~50구)
138.4,143.0,-4.599999999999994,20240720LTSS02024,96,많음(81구~)
135.5,142.3,-6.800000000000011,20240727KTSS02024,112,많음(81구~)
134.4,137.3,-2.9000000000000057,20240802SKSS02024,111,많음(81구~)
133.9,140.5,-6.599999999999994,20240808HHSS02024,93,많음(81구~)
136.8,140.4,-3.5999999999999943,20240814KTSS02024,102,많음(81구~)
132.6,134.5,-1.9000000000000057,20240820OBSS02024,90,많음(81구~)
137.6,135.9,1.6999999999999886,20240825LTSS02024,93,많음(81구~)
133.1,133.9,-0.8000000000000114,20240901HTSS02024,96,많음(81구~)
136.7,135.6,1.0999999999999943,20240908NCSS02024,103,많음(81구~)
136.4,142.2,-5.799999999999983,20240915SSSK02024,69,보통(51-80구)
