pa_count,hits,on_base,runs_scored,strikeouts,avg,obp,k_rate
2,1,1,0,0,0.5,0.5,0.0
10,3,3,2,0,0.3,0.3,0.0
3,0,0,0,1,0.0,0.0,33.3
19,3,7,2,1,0.158,0.368,5.3
6,1,1,0,0,0.167,0.167,0.0
5,1,1,0,3,0.2,0.2,60.0
4,0,1,0,0,0.0,0.25,0.0
16,3,4,0,3,0.188,0.25,18.8
10,2,2,1,2,0.2,0.2,20.0
4,0,1,0,1,0.0,0.25,25.0
9,2,2,0,1,0.222,0.222,11.1
5,1,1,1,3,0.2,0.2,60.0
3,1,2,0,1,0.333,0.667,33.3
2,1,1,0,1,0.5,0.5,50.0
36,14,15,1,1,0.389,0.417,2.8
2,0,0,0,1,0.0,0.0,50.0
12,5,7,0,3,0.417,0.583,25.0
7,3,3,3,2,0.429,0.429,28.6
3,0,0,0,2,0.0,0.0,66.7
2,1,1,0,0,0.5,0.5,0.0
5,2,2,0,2,0.4,0.4,40.0
7,1,1,0,2,0.143,0.143,28.6
2,0,1,0,0,0.0,0.5,0.0
2,1,1,0,0,0.5,0.5,0.0
2,1,1,0,1,0.5,0.5,50.0
28,5,8,1,5,0.179,0.286,17.9
2,1,1,1,1,0.5,0.5,50.0
4,1,1,2,2,0.25,0.25,50.0
10,2,3,3,1,0.2,0.3,10.0
1,1,1,1,0,1.0,1.0,0.0
3,0,0,2,1,0.0,0.0,33.3
2,0,0,0,1,0.0,0.0,50.0
18,3,5,1,3,0.167,0.278,16.7
3,0,0,0,0,0.0,0.0,0.0
17,5,5,5,5,0.294,0.294,29.4
25,5,7,4,7,0.2,0.28,28.0
11,3,4,2,1,0.273,0.364,9.1
22,6,7,0,4,0.273,0.318,18.2
3,1,1,0,0,0.333,0.333,0.0
3,0,0,0,2,0.0,0.0,66.7
2,1,1,0,0,0.5,0.5,0.0
3,0,0,0,0,0.0,0.0,0.0
7,2,5,1,0,0.286,0.714,0.0
3,0,0,0,1,0.0,0.0,33.3
3,1,1,0,0,0.333,0.333,0.0
15,4,5,5,0,0.267,0.333,0.0
7,2,2,0,1,0.286,0.286,14.3
21,10,11,3,0,0.476,0.524,0.0
19,6,10,2,4,0.316,0.526,21.1
35,4,5,2,4,0.114,0.143,11.4
13,3,4,0,3,0.231,0.308,23.1
2,1,1,1,1,0.5,0.5,50.0
6,4,4,3,0,0.667,0.667,0.0
9,2,2,0,3,0.222,0.222,33.3
4,1,1,0,1,0.25,0.25,25.0
15,6,8,2,2,0.4,0.533,13.3
6,2,3,4,0,0.333,0.5,0.0
1,0,0,0,0,0.0,0.0,0.0
2,0,0,0,1,0.0,0.0,50.0
8,2,2,1,2,0.25,0.25,25.0
12,4,5,3,3,0.333,0.417,25.0
3,2,2,0,0,0.667,0.667,0.0
16,1,1,0,3,0.062,0.062,18.8
