batter_pcode,batter_name,슬라이더,직구,체인지업,커브,커터,투심
62895,한유섬,20.4,51.5,25.7,2.4,0.0,0.0
62947,나성범,22.3,48.4,26.1,3.2,0.0,0.0
64646,박찬호,35.0,46.6,12.9,5.5,0.0,0.0
68050,강백호,12.8,42.6,22.3,4.1000000000000005,18.2,0.0
69737,노시환,28.799999999999997,54.1,10.2,6.3,0.5,0.0
72443,최형우,28.1,35.699999999999996,35.199999999999996,1.0,0.0,0.0
78513,전준우,20.3,51.6,20.3,5.2,2.0,0.7000000000000001
78548,장성우,29.299999999999997,49.2,13.3,6.1,2.1999999999999997,0.0
78603,김선빈,32.300000000000004,48.0,14.2,5.5,0.0,0.0
79608,안치홍,23.400000000000002,47.9,16.0,6.9,5.3,0.5
